date;index_value;volume;trades;oil_price;forex;temp_spb;temp_kost;temp_petr;day_of_week;day_of_year;day_of_month;year;month;week;is_month_end;is_month_start
2012-01-12;11124.0;4095;;112.97;30.811;-0.4;-6.4;-4.1;3;12;12;2012;1;2;0;0
2012-01-13;11124.0;0;;109.88;31.6807;-0.1;-5.7;-1.8;4;13;13;2012;1;2;0;0
2012-01-16;11124.0;0;;110.3825;31.870975;-3.2;-8.0;-3.3;0;16;16;2012;1;3;0;0
2012-01-17;11124.0;0;;110.55;31.9344;-4.3;-6.5;-4.1;1;17;17;2012;1;3;0;0
2012-01-18;11124.0;0;;109.81;31.5445;-7.3;-7.016666666666667;-8.3;2;18;18;2012;1;3;0;0
2012-01-19;11124.0;0;;109.54;31.5428;-6.7;-7.533333333333333;-8.5;3;19;19;2012;1;3;0;0
2012-01-20;11124.0;0;;108.5;31.4777;-6.4;-8.05;-9.2;4;20;20;2012;1;3;0;0
2012-01-23;11424.0;585;;109.46;31.3688;-9.5;-9.6;-12.1;0;23;23;2012;1;4;0;0
2012-01-24;11424.0;0;;108.38;31.3325;-9.8;-12.7;-11.2;1;24;24;2012;1;4;0;0
2012-01-25;11424.0;0;;108.48;30.8752;-13.7;-15.0;-15.2;2;25;25;2012;1;4;0;0
2012-01-26;11424.0;0;;109.08;30.667;-15.4;-17.3;-13.6;3;26;26;2012;1;4;0;0
2012-01-27;11424.0;0;;110.5;30.36;-19.0;-21.075;-16.6;4;27;27;2012;1;4;0;0
2012-01-30;11424.0;0;;110.24;30.363525;-19.9;-32.4;-22.6;0;30;30;2012;1;5;0;0
2012-01-31;11424.0;0;;110.26;30.3647;-23.1;-29.7;-22.3;1;31;31;2012;1;5;1;0
2012-02-01;11724.0;2535;;111.96;30.3857;-22.2;-30.6;-24.4;2;32;1;2012;2;5;0;1
2012-02-02;12124.0;2535;;110.96;30.4067;-22.1;-29.7;-21.8;3;33;2;2012;2;5;0;0
2012-02-03;12524.0;3120;;112.56;29.2889;-19.7;-28.8;-20.9;4;34;3;2012;2;5;0;0
2012-02-06;12524.0;0;;115.47;33.7384;-26.1;-13.8;-21.4;0;37;6;2012;2;6;0;0
2012-02-07;12524.0;0;;116.86;33.0353;-16.8;-13.6;-15.3;1;38;7;2012;2;6;0;0
2012-02-08;12524.0;0;;117.18;32.3322;-17.2;-20.4;-13.7;2;39;8;2012;2;6;0;0
2012-02-09;11924.0;4095;;118.4;31.793;-17.7;-26.0;-20.7;3;40;9;2012;2;6;0;0
2012-02-10;11924.0;0;;118.13;31.2538;-17.6;-19.5;-18.2;4;41;10;2012;2;6;0;0
2012-02-13;11867.0;2925;;118.73;30.228925;-18.5;-15.0;-22.2;0;44;13;2012;2;7;0;0
2012-02-14;11867.0;0;;118.3;29.8873;-13.4;-16.5;-19.6;1;45;14;2012;2;7;0;0
2012-02-15;11867.0;0;;120.25;30.0868;-11.4;-10.4;-15.4;2;46;15;2012;2;7;0;0
2012-02-16;11867.0;0;;121.0;29.944;-17.0;-9.4;-17.9;3;47;16;2012;2;7;0;0
2012-02-17;11942.0;4290;;120.69;30.2098;-12.4;-6.9;-12.4;4;48;17;2012;2;7;0;0
2012-02-20;12116.0;1170;;120.81;29.887825;-4.1;-4.7;-5.9;0;51;20;2012;2;8;0;0
2012-02-21;12116.0;0;;120.85;29.7805;-3.1;-4.9;-3.4;1;52;21;2012;2;8;0;0
2012-02-22;12116.0;0;;123.07;29.7796;-0.9;-4.7;-1.8;2;53;22;2012;2;8;0;0
2012-02-24;12116.0;0;;124.89;29.561866666666667;-1.2;-7.1;-2.3;4;55;24;2012;2;8;0;0
2012-02-27;12116.0;0;;126.46;29.235266666666668;-5.5;-9.8;-8.9;0;58;27;2012;2;9;0;0
2012-02-28;12116.0;0;;124.02;29.1264;-8.4;-9.8;-10.1;1;59;28;2012;2;9;0;0
2012-02-29;12224.0;2730;;122.23;28.9503;-5.3;-6.4;-7.4;2;60;29;2012;2;9;1;0
2012-03-01;12424.0;2730;;125.76;29.567899999999998;-0.7;-2.9000000000000004;-3.8;3;61;1;2012;3;9;0;1
2012-03-02;12474.0;2730;;125.93;30.1855;0.4;0.6;-0.2;4;62;2;2012;3;9;0;0
2012-03-05;12395.0;2730;;126.68;29.3708;-5.5;-7.575000000000001;-6.0;0;65;5;2012;3;10;0;0
2012-03-06;12371.0;5640;;125.03;30.94975;-9.4;-10.3;-10.2;1;66;6;2012;3;10;0;0
2012-03-07;12241.0;2730;;125.37;32.5287;-12.7;-12.0;-8.7;2;67;7;2012;3;10;0;0
2012-03-11;12224.0;2730;;126.89;31.3817;0.4;-2.7;-2.8;6;71;11;2012;3;10;0;0
2012-03-12;12254.0;585;;127.27;30.52415;1.3;-2.25;-0.8;0;72;12;2012;3;11;0;0
2012-03-13;12224.0;195;;128.14;29.6666;0.6;-1.8;-0.9;1;73;13;2012;3;11;0;0
2012-03-14;11934.0;1950;;126.98;29.5091;-1.0;-2.75;-4.1;2;74;14;2012;3;11;0;0
2012-03-15;11849.0;5460;;123.63;29.5125;-3.9;-3.7;-10.2;3;75;15;2012;3;11;0;0
2012-03-16;11849.0;0;;125.09;29.5822;-1.6;0.9;-5.1;4;76;16;2012;3;11;0;0
2012-03-19;11849.0;0;;125.76;29.312350000000002;0.5;-5.3;-2.0;0;79;19;2012;3;12;0;0
2012-03-20;11849.0;0;;124.38;29.2224;0.1;-2.6;-1.0;1;80;20;2012;3;12;0;0
2012-03-21;11849.0;0;;123.89;29.1652;0.4;-8.7;-1.6;2;81;21;2012;3;12;0;0
2012-03-22;11849.0;0;;122.49;29.2079;-0.7;-7.4;-6.3;3;82;22;2012;3;12;0;0
2012-03-23;12074.0;195;;125.21;29.2447;1.5;-4.3;-5.4;4;83;23;2012;3;12;0;0
2012-03-26;12074.0;0;;125.85;29.2345;-2.9;-3.0;-2.7;0;86;26;2012;3;13;0;0
2012-03-27;11724.0;1170;;125.25;29.2311;-0.3;-2.9;-4.3;1;87;27;2012;3;13;0;0
2012-03-28;11724.0;3510;;124.41;28.9468;1.2;-1.0;-2.2;2;88;28;2012;3;13;0;0
2012-03-29;11794.0;975;;123.23;29.0845;1.7;-5.4;-2.1;3;89;29;2012;3;13;0;0
2012-03-30;10394.0;14040;;123.41;29.2853;-0.3;-12.8;-4.9;4;90;30;2012;3;13;0;0
2012-04-02;11793.0;3120;;124.44;30.2385;-2.1;-11.5;-9.4;0;93;2;2012;4;14;0;0
2012-04-03;11624.0;6435;;123.74000000000001;29.76645;-0.9;-11.2;-5.5;1;94;3;2012;4;14;0;0
